# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
24.5795034,4.2438508,-10.332769,-0.48799,0.2807047,3.9380639,-0.1146742
24.6794201,4.2894456,-10.2438716,-0.4597626,0.2844404,3.9351533,-0.0584067
24.7793367,4.3325008,-10.1537034,-0.4311425,0.2882903,3.93367,-0.0193374
24.8792534,4.3729366,-10.0623476,-0.4022118,0.2908876,3.9331788,-0.0193374
24.9791701,4.4107044,-9.9698493,-0.3730937,0.2901124,3.9326875,-0.0062207
25.0790868,4.44578,-9.8762876,-0.3443366,0.2855016,3.9325295,0.0654474
25.1790035,4.4781673,-9.7817838,-0.3160891,0.2798217,3.934192,0.1496101
25.2789201,4.5079066,-9.6863903,-0.2884163,0.274191,3.9379898,0.2285263
25.3788368,4.5350166,-9.5902338,-0.2612732,0.2691806,3.9437838,0.293877
25.4787535,4.55953,-9.4933862,-0.2346135,0.2647317,3.9512223,0.347452
25.5786702,4.5814819,-9.3958849,-0.20836,0.2606268,3.9599987,0.3933549
25.6785869,4.6008727,-9.2979142,-0.1824892,0.2574757,3.9699112,0.4224332
25.7785035,4.6177458,-9.1994274,-0.1569121,0.2547223,3.980529,0.4442183
25.8784202,4.6321052,-9.1005526,-0.1315609,0.2527063,3.991664,0.4536176
25.9783369,4.6439593,-9.0013845,-0.1064022,0.251303,4.0030025,0.4530841
26.0782536,4.6533301,-8.9018377,-0.0813356,0.2501462,4.0142958,-0.0728191
26.1781703,4.660196,-8.8022349,-0.056285,0.2517136,4.0124829,-0.4404246
26.2780869,4.6645595,-8.7023855,-0.0310126,0.2547832,4.0015006,-0.3724957
26.3780036,4.6663775,-8.6024732,-0.0052842,0.2602295,3.9921886,-0.3191567
26.4779203,4.6655985,-8.5025816,0.0209502,0.2646303,3.9841928,-0.2706177
26.577837,4.6621761,-8.4026773,0.0476043,0.2685989,3.9774003,-0.2305371
26.6777537,4.6560802,-8.3029867,0.0745938,0.2719207,3.9716048,-0.1905383
26.7776703,4.6472736,-8.2034432,0.101942,0.2751176,3.9668084,-0.1558791
26.877587,4.6357354,-8.1041904,0.1295667,0.2778677,3.9628801,-0.1285257
26.9775037,4.6214481,-8.0053059,0.1574493,0.2800655,3.9596382,-0.0988692
27.0774204,4.6043955,-7.9068388,0.1855494,0.2823112,3.9571426,-0.0812708
27.1773371,4.5845784,-7.808914,0.2138225,0.283728,3.95509,-0.0625549
27.2772537,4.5619901,-7.7115774,0.2422571,0.2851513,3.9535094,-0.0481027
27.3771704,4.5366404,-7.6149326,0.2707994,0.2862512,3.9522935,-0.0388553
27.4770871,4.5085333,-7.5190383,0.2994505,0.2869853,3.9513111,-0.0276347
27.5770038,4.4776987,-7.4240222,0.3281581,0.2878053,3.9506122,-0.0254966
27.6769205,4.4441294,-7.3298853,0.3569312,0.2880359,3.9499673,-0.0211954
27.7768371,4.407877,-7.2367854,0.3857338,0.2883896,3.9494312,-0.0194926
27.8767538,4.3689567,-7.1447667,0.414554,0.2885705,3.948938,-0.0194926
27.9766705,4.3273906,-7.0538885,0.4433931,0.288417,3.9484447,-0.0159713
28.0765872,4.2832509,-6.9643013,0.4721877,0.2881997,3.9480406,-0.0116596
28.1765039,4.2365133,-6.8759471,0.5009053,0.286421,3.9477455,0.0167358
28.2764205,4.1872942,-6.7890158,0.5294358,0.2847325,3.948169,0.042093
28.3763372,4.1356173,-6.7035113,0.5577954,0.2829673,3.9492341,0.0672194
28.4762539,4.0815387,-6.6194944,0.5860002,0.2817167,3.9509344,0.0829226
28.5761706,4.0251332,-6.5370558,0.6140839,0.2806147,3.9530309,0.0954551
28.6760873,3.9664227,-6.4562113,0.6421235,0.2805861,3.9554429,0.0905258
28.776004,3.9054828,-6.3770612,0.6701405,0.2803792,3.957729,0.0886668
28.8759206,3.8423353,-6.2996306,0.6981377,0.2799287,3.9599668,0.0907418
28.9758373,3.7770877,-6.2240371,0.7259355,0.2759458,3.9622557,0.0424853
29.075754,3.7097117,-6.1501942,0.753244,0.270502,3.963327,-0.2660437
29.1756707,3.6404662,-6.0783065,0.7800436,0.2662983,3.9566142,-0.3456573
29.2755874,3.5692802,-6.0082315,0.8064045,0.261661,3.9478757,-0.4360306
29.375504,3.4962391,-5.9399968,0.8323297,0.2569249,3.9368247,-0.5284033
29.4754207,3.4216486,-5.8738098,0.8575535,0.2478244,3.9233909,-0.693187
29.5753374,3.3450957,-5.8091963,0.8817953,0.2357773,3.9056977,-0.9091165
29.6752541,3.2675133,-5.7467766,0.9045164,0.2206686,3.8823707,-1.1856977
29.7751708,3.1881664,-5.685769,0.9259893,0.2138111,3.8517348,-1.2353262
29.8750874,3.1076937,-5.6266072,0.947893,0.2250264,3.8195551,-1.1060318
29.9750041,3.02585,-5.569228,0.971003,0.2374675,3.7905117,-0.9704198
30.0749208,2.9426156,-5.5137741,0.9953915,0.2502669,3.7648449,-0.9028704
30.1748375,2.8581656,-5.4605046,1.0208329,0.2583047,3.7408065,-0.840614
30.2747542,2.7721746,-5.4093189,1.0470549,0.2659309,3.718286,-0.8170612
30.3746708,2.6850481,-5.3605396,1.073843,0.270818,3.6962649,-0.781312
30.4745875,2.5965104,-5.3140726,1.1012306,0.2765811,3.675084,-0.7759339
30.5745042,2.5067641,-5.2700885,1.1290389,0.2801815,3.6539273,-0.7699626
30.6744209,2.4158079,-5.2286298,1.157272,0.283886,3.6328117,-0.7693199
30.7743376,2.3237308,-5.1897758,1.1857539,0.2863941,3.6115903,-0.7757944
30.8742542,2.2305218,-5.1535489,1.2143948,0.283526,3.5900634,-0.8536432
30.9741709,2.136494,-5.1200366,1.2423357,0.2764921,3.5662261,-0.9702602
31.0740876,2.0413083,-5.0890179,1.2685531,0.2406694,3.5389375,-1.4702713
31.1740043,1.9458746,-5.0604358,1.2903025,0.1956163,3.4971802,-2.0924803
