Ux_mps,Uy_mps,r_radps,ax_mps2,ay_mps2,speed,delta_rad,TxR,latitude,longitude,altitude,roll,pitch,yaw
0.12966392,-0.35469987,-0.84145522,-0.93654609,1.41568172,136.69999695,-0.61051613,1.68345618,39.96300443,116.30366024,64.85625923,-0.02223661,-0.03767792,-0.87533502
0.09836278,-0.38776263,-0.76616269,-0.51452059,0.06551871,138.89999390,-0.61051613,1.69254708,39.96300459,116.30365975,64.85806410,-0.01991998,-0.03938736,-0.92266962
0.08547461,-0.40865491,-0.85321236,0.76005203,-1.13137996,151.80000305,-0.61051613,1.69254708,39.96300474,116.30365923,64.85984401,-0.01998202,-0.04265539,-0.97301854
0.06253200,-0.41143324,-0.84606427,-0.57192326,-1.80445933,148.80000305,-0.61051613,1.70163798,39.96300487,116.30365880,64.86121257,-0.02497084,-0.04309519,-1.01477189
0.04268914,-0.47954927,-0.84254003,-1.93433666,-3.16029000,144.60000610,-0.61051613,1.70163798,39.96300506,116.30365831,64.86189894,-0.02981292,-0.04543320,-1.06135546
0.02352096,-0.51153933,-0.88698733,-0.39296284,1.86965013,145.30000305,-0.61051613,1.68345618,39.96300522,116.30365801,64.86229178,-0.02835732,-0.04720051,-1.09090252
-0.01849614,-0.54552941,-0.84846336,-0.12913561,1.54482925,148.00000000,-0.61051613,1.62891078,39.96300553,116.30365739,64.86372349,-0.02889317,-0.04941226,-1.15179339
-0.03507320,-0.61992307,-0.86072111,-2.05208468,-1.95089877,152.10000610,-0.61051613,1.53800154,39.96300585,116.30365673,64.86465416,-0.03099496,-0.05563105,-1.21274456
-0.04818682,-0.65824643,-0.92196333,0.54757667,1.98219955,143.80000305,-0.61051613,1.48345613,39.96300600,116.30365638,64.86499338,-0.02751559,-0.05680090,-1.24231703
-0.08713173,-0.70690925,-0.96929854,-0.26521382,2.27340746,147.10000610,-0.61051613,1.47436512,39.96300627,116.30365575,64.86581767,-0.02375733,-0.05940705,-1.29345423
-0.12984401,-0.73379474,-0.91775823,-0.35366425,2.95715737,146.19999695,-0.61051613,1.48345613,39.96300670,116.30365512,64.86574350,-0.01898804,-0.06365807,-1.36018428
-0.12518631,-0.78725699,-0.90152490,-0.47072452,-2.36384773,146.10000610,-0.61051613,1.51072884,39.96300714,116.30365447,64.86510771,-0.01448312,-0.06756711,-1.42512466
